prevword	concedes	O	116383
word+nextpos	worth+rb	O	29417
nextword	koptevo	O	14830
prevword	defeated	B-NE	74614
nextword	appears	I-NE	35269
nextword	barriers	O	22775
prevword	anonymity.	O	22883
nextword	russia	O	688
prevword	marbury	O	117277
word+nextpos	tuition+nns	O	128133
word+nextpos	proponents+,	O	127225
word+nextpos	cents+:	O	123427
word+nextpos	embassies+in	O	76071
word+nextpos	cbs+cc	B-NE	107150
word+nextpos	70+cd	O	111984
word+nextpos	testified+.	O	105031
nextword	visibly	O	126987
word+nextpos	shoreham+nn	B-NE	98091
word+nextpos	prompt+dt	O	14376
word+nextpos	trade.+dt	O	17204
suffix3	fet	I-NE	141696
word+nextpos	1997+cc	O	66993
word+nextpos	sharp-featured+jj	O	25721
word	pro-democracy	O	68544
prevword	tax.	O	114812
prevword	han	I-NE	31496
word+nextpos	crimes+vbp	O	8149
word+nextpos	50+wdt	O	64612
prevword	unrefined	O	121952
prevword	loathed	O	57191
word	arid	O	45859
prevword	batsmen	B-NE	137264
word+nextpos	thomas+nn	I-NE	77494
word+nextpos	campers+md	O	122836
nextword	venilale	O	71794
word	manager	O	11352
prevword	protested	O	81698
word+nextpos	stationed+nns	O	113408
word	15	O	7828
nextword	pronounce	O	131013
word	Honeycutt	B-NE	53718
prevword	traps	O	120882
word+nextpos	start+dt	O	76384
prevword	inequity	O	103010
word	Meshkov	I-NE	107317
word	whose	O	7162
prefix3	gul	O	23709
prevword	compelling	O	65108
nextword	shelves	O	28341
word+nextpos	aggressive+jj	O	15023
word+nextpos	english.+nnp	O	20861
word+nextpos	rouse+prp	O	119397
word+nextpos	bodyguard+md	O	133261
nextword	vashem	B-NE	37160
word+nextpos	)+cd	O	16196
prevword	tram	O	107758
word+nextpos	locate+dt	O	6859
word	inescapable	O	130633
word+nextpos	dartmouth+vbd	B-NE	99789
nextword	order.	O	110678
prevword	ocean	O	140853
word+nextpos	rubles+vbp	O	111258
prevword	big.	O	134482
nextword	counters	O	83523
word+nextpos	book+.	O	86332
suffix3	997	O	5713
word+nextpos	once+,	O	63544
word+nextpos	allegations+wdt	O	97672
word+nextpos	way+nnp	O	50345
word	Missile	O	112978
word	Commission	I-NE	11249
word+nextpos	rivalries+in	O	18384
word+nextpos	ambiguous+cc	O	120188
nextword	malicious	O	105153
prevword	wechsler	O	90464
nextword	surface-to-air	O	35472
prevword	747	O	64604
prevword	tax-free	O	14471
prevword	court	I-NE	38264
